,img_paths,labels,file_name
0,../input/after_4_bis/1155/1155.0.jpg,1155,0
1,../input/after_4_bis/1155/1155.8.jpg,1155,8
2,../input/after_4_bis/1155/1155.6.jpg,1155,6
3,../input/after_4_bis/1155/1155.2.jpg,1155,2
4,../input/after_4_bis/1155/1155.3.jpg,1155,3
5,../input/after_4_bis/1155/1155.9.jpg,1155,9
6,../input/after_4_bis/1155/1155.5.jpg,1155,5
7,../input/after_4_bis/1155/1155.7.jpg,1155,7
8,../input/after_4_bis/1155/1155.1.jpg,1155,1
9,../input/after_4_bis/1155/1155.4.jpg,1155,4
10,../input/after_4_bis/714/714.5.jpg,714,5
11,../input/after_4_bis/714/714.1.jpg,714,1
12,../input/after_4_bis/714/714.0.jpg,714,0
13,../input/after_4_bis/714/714.2.jpg,714,2
14,../input/after_4_bis/714/714.3.jpg,714,3
15,../input/after_4_bis/714/714.4.jpg,714,4
16,../input/after_4_bis/272/272.13.jpg,272,13
17,../input/after_4_bis/272/272.9.jpg,272,9
18,../input/after_4_bis/272/272.6.jpg,272,6
19,../input/after_4_bis/272/272.7.jpg,272,7
20,../input/after_4_bis/272/272.2.jpg,272,2
21,../input/after_4_bis/272/272.10.jpg,272,10
22,../input/after_4_bis/272/272.11.jpg,272,11
23,../input/after_4_bis/272/272.3.jpg,272,3
24,../input/after_4_bis/272/272.12.jpg,272,12
25,../input/after_4_bis/272/272.14.jpg,272,14
26,../input/after_4_bis/272/272.1.jpg,272,1
27,../input/after_4_bis/272/272.8.jpg,272,8
28,../input/after_4_bis/272/272.5.jpg,272,5
29,../input/after_4_bis/272/272.4.jpg,272,4
30,../input/after_4_bis/272/272.0.jpg,272,0
31,../input/after_4_bis/941/941.3.jpg,941,3
32,../input/after_4_bis/941/941.0.jpg,941,0
33,../input/after_4_bis/941/941.5.jpg,941,5
34,../input/after_4_bis/941/941.1.jpg,941,1
35,../input/after_4_bis/941/941.2.jpg,941,2
36,../input/after_4_bis/941/941.4.jpg,941,4
37,../input/after_4_bis/861/861.1.jpg,861,1
38,../input/after_4_bis/861/861.4.jpg,861,4
39,../input/after_4_bis/861/861.5.jpg,861,5
40,../input/after_4_bis/861/861.3.jpg,861,3
41,../input/after_4_bis/861/861.2.jpg,861,2
42,../input/after_4_bis/861/861.0.jpg,861,0
43,../input/after_4_bis/707/707.4.jpg,707,4
44,../input/after_4_bis/707/707.1.jpg,707,1
45,../input/after_4_bis/707/707.0.jpg,707,0
46,../input/after_4_bis/707/707.2.jpg,707,2
47,../input/after_4_bis/707/707.5.jpg,707,5
48,../input/after_4_bis/707/707.3.jpg,707,3
49,../input/after_4_bis/1361/1361.0.jpg,1361,0
50,../input/after_4_bis/1361/1361.2.jpg,1361,2
51,../input/after_4_bis/1361/1361.1.jpg,1361,1
52,../input/after_4_bis/105/105.3.jpg,105,3
53,../input/after_4_bis/105/105.2.jpg,105,2
54,../input/after_4_bis/105/105.1.jpg,105,1
55,../input/after_4_bis/105/105.0.jpg,105,0
56,../input/after_4_bis/105/105.4.jpg,105,4
57,../input/after_4_bis/616/616.3.jpg,616,3
58,../input/after_4_bis/616/616.1.jpg,616,1
59,../input/after_4_bis/616/616.2.jpg,616,2
60,../input/after_4_bis/616/616.0.jpg,616,0
61,../input/after_4_bis/858/858.3.jpg,858,3
62,../input/after_4_bis/858/858.0.jpg,858,0
63,../input/after_4_bis/858/858.2.jpg,858,2
64,../input/after_4_bis/858/858.1.jpg,858,1
65,../input/after_4_bis/858/858.4.jpg,858,4
66,../input/after_4_bis/858/858.5.jpg,858,5
67,../input/after_4_bis/50/50.2.jpg,50,2
68,../input/after_4_bis/50/50.1.jpg,50,1
69,../input/after_4_bis/50/50.0.jpg,50,0
70,../input/after_4_bis/354/354.2.jpg,354,2
71,../input/after_4_bis/354/354.6.jpg,354,6
72,../input/after_4_bis/354/354.5.jpg,354,5
73,../input/after_4_bis/354/354.4.jpg,354,4
74,../input/after_4_bis/354/354.1.jpg,354,1
75,../input/after_4_bis/354/354.0.jpg,354,0
76,../input/after_4_bis/354/354.3.jpg,354,3
77,../input/after_4_bis/175/175.4.jpg,175,4
78,../input/after_4_bis/175/175.5.jpg,175,5
79,../input/after_4_bis/175/175.3.jpg,175,3
80,../input/after_4_bis/175/175.0.jpg,175,0
81,../input/after_4_bis/175/175.1.jpg,175,1
82,../input/after_4_bis/175/175.2.jpg,175,2
83,../input/after_4_bis/1112/1112.0.jpg,1112,0
84,../input/after_4_bis/1112/1112.3.jpg,1112,3
85,../input/after_4_bis/1112/1112.2.jpg,1112,2
86,../input/after_4_bis/1112/1112.1.jpg,1112,1
87,../input/after_4_bis/1393/1393.0.jpg,1393,0
88,../input/after_4_bis/1393/1393.1.jpg,1393,1
89,../input/after_4_bis/1393/1393.2.jpg,1393,2
90,../input/after_4_bis/1393/1393.3.jpg,1393,3
91,../input/after_4_bis/30/30.2.jpg,30,2
92,../input/after_4_bis/30/30.3.jpg,30,3
93,../input/after_4_bis/30/30.0.jpg,30,0
94,../input/after_4_bis/30/30.1.jpg,30,1
95,../input/after_4_bis/383/383.3.jpg,383,3
96,../input/after_4_bis/383/383.1.jpg,383,1
97,../input/after_4_bis/383/383.4.jpg,383,4
98,../input/after_4_bis/383/383.2.jpg,383,2
99,../input/after_4_bis/383/383.0.jpg,383,0
100,../input/after_4_bis/23/23.4.jpg,23,4
101,../input/after_4_bis/23/23.2.jpg,23,2
102,../input/after_4_bis/23/23.1.jpg,23,1
103,../input/after_4_bis/23/23.5.jpg,23,5
104,../input/after_4_bis/23/23.3.jpg,23,3
105,../input/after_4_bis/23/23.0.jpg,23,0
106,../input/after_4_bis/306/306.1.jpg,306,1
107,../input/after_4_bis/306/306.3.jpg,306,3
108,../input/after_4_bis/306/306.0.jpg,306,0
109,../input/after_4_bis/306/306.2.jpg,306,2
110,../input/after_4_bis/900/900.1.jpg,900,1
111,../input/after_4_bis/900/900.4.jpg,900,4
112,../input/after_4_bis/900/900.5.jpg,900,5
113,../input/after_4_bis/900/900.0.jpg,900,0
114,../input/after_4_bis/900/900.3.jpg,900,3
115,../input/after_4_bis/900/900.2.jpg,900,2
116,../input/after_4_bis/1200/1200.0.jpg,1200,0
117,../input/after_4_bis/1200/1200.1.jpg,1200,1
118,../input/after_4_bis/1200/1200.2.jpg,1200,2
119,../input/after_4_bis/1200/1200.4.jpg,1200,4
120,../input/after_4_bis/1200/1200.5.jpg,1200,5
121,../input/after_4_bis/1200/1200.3.jpg,1200,3
122,../input/after_4_bis/679/679.0.jpg,679,0
123,../input/after_4_bis/679/679.4.jpg,679,4
124,../input/after_4_bis/679/679.1.jpg,679,1
125,../input/after_4_bis/679/679.3.jpg,679,3
126,../input/after_4_bis/679/679.2.jpg,679,2
127,../input/after_4_bis/411/411.0.jpg,411,0
128,../input/after_4_bis/411/411.2.jpg,411,2
129,../input/after_4_bis/411/411.5.jpg,411,5
130,../input/after_4_bis/411/411.4.jpg,411,4
131,../input/after_4_bis/411/411.1.jpg,411,1
132,../input/after_4_bis/411/411.3.jpg,411,3
133,../input/after_4_bis/358/358.0.jpg,358,0
134,../input/after_4_bis/358/358.8.jpg,358,8
135,../input/after_4_bis/358/358.5.jpg,358,5
136,../input/after_4_bis/358/358.1.jpg,358,1
137,../input/after_4_bis/358/358.3.jpg,358,3
138,../input/after_4_bis/358/358.6.jpg,358,6
139,../input/after_4_bis/358/358.7.jpg,358,7
140,../input/after_4_bis/358/358.4.jpg,358,4
141,../input/after_4_bis/358/358.2.jpg,358,2
142,../input/after_4_bis/420/420.1.jpg,420,1
143,../input/after_4_bis/420/420.3.jpg,420,3
144,../input/after_4_bis/420/420.4.jpg,420,4
145,../input/after_4_bis/420/420.0.jpg,420,0
146,../input/after_4_bis/420/420.5.jpg,420,5
147,../input/after_4_bis/420/420.6.jpg,420,6
148,../input/after_4_bis/420/420.2.jpg,420,2
149,../input/after_4_bis/196/196.4.jpg,196,4
150,../input/after_4_bis/196/196.2.jpg,196,2
151,../input/after_4_bis/196/196.8.jpg,196,8
152,../input/after_4_bis/196/196.3.jpg,196,3
153,../input/after_4_bis/196/196.0.jpg,196,0
154,../input/after_4_bis/196/196.7.jpg,196,7
155,../input/after_4_bis/196/196.6.jpg,196,6
156,../input/after_4_bis/196/196.1.jpg,196,1
157,../input/after_4_bis/196/196.5.jpg,196,5
158,../input/after_4_bis/450/450.8.jpg,450,8
159,../input/after_4_bis/450/450.3.jpg,450,3
160,../input/after_4_bis/450/450.11.jpg,450,11
161,../input/after_4_bis/450/450.7.jpg,450,7
162,../input/after_4_bis/450/450.12.jpg,450,12
163,../input/after_4_bis/450/450.0.jpg,450,0
164,../input/after_4_bis/450/450.2.jpg,450,2
165,../input/after_4_bis/450/450.1.jpg,450,1
166,../input/after_4_bis/450/450.5.jpg,450,5
167,../input/after_4_bis/450/450.10.jpg,450,10
